Name,Epoch,Rest_DeltaT,New Peak 3x3 mJy,New RMS mJy
ZTF19aamkmxv,1,-538.8262701804954,0.5977365071885288,0.1432062833927015
ZTF19aamkmxv,2,525.2762939220687,0.6895785918459295,0.15800202712937048
ZTF19aamkmxv,3,1411.8640651252244,0.6771356565877795,0.11214328511431142
ZTF19aanbpus,1,-1132.2131074496444,1.1665482306852937,0.14439900667724181
ZTF19aanbpus,2,-72.76520852295417,1.4737199526280165,0.15036203706779055
ZTF19aanbpus,3,837.1718186860443,1.6566759441047905,0.13228566404882197
ZTF19aanxnkd,1,-446.5390446687608,0.4119944060221315,0.1240126944461277
ZTF19aanxnkd,2,462.3866052130788,0.5607589264400303,0.14422598691696317
ZTF19aanxnkd,3,1297.6892774544897,0.558632949832827,0.13020122088397296
ZTF19aaputrv,1,-22.491539549592723,0.6297359359450638,0.1276883426781744
ZTF19aaputrv,2,879.932638461789,0.48023136332631117,0.13528644623129032
ZTF19aaputrv,3,1833.5650407072208,0.37158443592488766,0.1271937581934418
ZTF19aarmtgu,1,-1037.0618660116832,0.5516769597306848,0.12907160406271273
ZTF19aarmtgu,2,-11.002452468466736,0.4537768545560538,0.1699356308789406
ZTF19aarmtgu,3,810.6129432218918,0.8405036642216145,0.15096326090954346
ZTF19aaupkrl,1,-587.7120235143087,0.7549365292565252,0.15648926326615845
ZTF19aaupkrl,2,447.3428642984748,1.0321388253942132,0.1678179179848362
ZTF19aaupkrl,3,1318.4095592611434,0.7010296796896521,0.18128877228801432
ZTF19aavlfvn,1,-16.75083970298873,0.21145415666978806,0.18777363165473226
ZTF19aavlfvn,2,839.5301761576709,0.15035385149531064,0.15067059942457503
ZTF19aavlfvn,3,1809.657645263441,0.6405230960808694,0.13128027864707786
ZTF19aaxqsbn,1,-550.8576312239829,0.8707996099912286,0.15106098404707433
ZTF19aaxqsbn,2,434.9512618696784,0.604286789894104,0.1668329909250292
ZTF19aaxqsbn,3,1312.9077424751656,0.3677172969782105,0.1437860267449782
ZTF19abdmfgf,1,-106.04363329191465,1.2506950879469514,0.15718055823653576
ZTF19abdmfgf,2,829.8895143403973,1.404812326654792,0.15093410012012193
ZTF19abdmfgf,3,1712.8978708863583,0.4068193310284514,0.16224835505902135
ZTF19abegzry,1,-8.158771694606342,1.3673265930265188,0.1774275071912275
ZTF19abegzry,2,919.3774601894517,1.1443316470831635,0.1592384476264195
ZTF19abegzry,3,1838.2180398995968,1.0528179118409755,0.17011394032827798
ZTF19abglmpf,1,-635.2747313836617,2.102525904774666,0.1499336764519411
ZTF19abglmpf,2,401.2286307681155,2.555109793320298,0.14345054879087135
ZTF19abglmpf,3,1257.1364117479427,3.1720693223178387,0.13700787326859978
ZTF19abgpgyp,1,-545.975780979704,0.4105563857592643,0.10685640125534046
ZTF19abgpgyp,2,392.34197602964167,0.43466722127050167,0.13744821380972
ZTF19abgpgyp,3,1202.6223498614174,0.6725951097905636,0.15714720849039943
ZTF19abgppki,1,-568.1299797845328,0.6673474563285708,0.12763502076491298
ZTF19abgppki,2,400.1284736392215,0.7021274068392813,0.15953245305064068
ZTF19abgppki,3,1203.556937423718,0.7280836580321193,0.1534017115188202
ZTF19abixauz,1,-614.1651376146276,0.7028225227259098,0.10117757127889752
ZTF19abixauz,2,342.7155963303265,1.0488481493666768,0.1687082713210088
ZTF19abixauz,3,1209.6880733945466,1.0303920134902,0.14207498908255975
ZTF19abkjbur,1,-1888.25543560608,0.5579260177910328,0.15849330642639411
ZTF19abkjbur,2,-947.9145265151712,0.5763541557826102,0.1818087186148786
ZTF19abkjbur,3,-100.37664772729234,0.5778317572548985,0.13327810018804442
ZTF19ablfcjr,1,-547.902315285192,0.5456094513647258,0.1282762887697986
ZTF19ablfcjr,2,351.3682968466518,0.3019213036168367,0.16543202634131549
ZTF19ablfcjr,3,1173.0837432504927,0.3699792141560465,0.15942385879419546
ZTF19abpgggu,1,-140.5819075079281,0.691386521793902,0.14578175653462921
ZTF19abpgggu,2,812.6160717123561,0.707091938238591,0.12844619993184123
ZTF19abpgggu,3,1721.0137459092869,0.7066939724609257,0.1369439300728118
ZTF19abpidqn,1,-666.5802529674434,0.13778710854239762,0.13426642338194364
ZTF19abpidqn,2,357.4888199494286,0.6965126376599073,0.17780436984749595
ZTF19abpidqn,3,1252.4404255399193,8.016731590032578,0.1308068101698843
ZTF19abqrrto,1,-61.00365028474838,0.5243677878752351,0.15408177261263928
ZTF19abqrrto,2,753.4194266383286,0.6420495337806641,0.16256904725595694
ZTF19abqrrto,3,1687.0732727921747,1.3751466758549213,0.15233006250239967
ZTF19abucwzt,1,-126.39841913995532,0.07908773113740607,0.12943514281033736
ZTF19abucwzt,2,814.0836270971328,3.189150709658861,0.13342019849149744
ZTF19abucwzt,3,1747.6792985186771,5.0062742084264755,0.18600251886564156
ZTF19abxnycf,1,-58.49804935443619,0.26295959833078086,0.16444576324794513
ZTF19abxnycf,2,826.2754205492217,0.42569596553221345,0.15231975158110456
ZTF19abxnycf,3,1736.328132450127,0.6176744936965406,0.14051410606098835
ZTF19abxqppy,1,-147.1334237044187,0.2873530611395836,0.1547377625389055
ZTF19abxqppy,2,788.6440407232188,0.3588939143810421,0.14526888236287497
ZTF19abxqppy,3,1723.4354382758008,0.9377962560392916,0.15321378967112118
ZTF19abyikbv,1,-112.53642056636852,1.4763115905225275,0.1442508321277887
ZTF19abyikbv,2,761.611801146726,0.644725859996716,0.12177369622731689
ZTF19abyikbv,3,1689.841183933184,0.9529897823693982,0.15061463750139523
ZTF19abzrhgq,1,-608.3142579458937,0.17793872393667698,0.11620644681126416
ZTF19abzrhgq,2,390.6021049740158,1.031590742059052,0.22883737352803307
ZTF19abzrhgq,3,1262.4373921378422,0.7601295947097242,0.1556330226674102
ZTF19abzzhsa,1,-130.1293160956922,1.0672735515981913,0.1267527111874797
ZTF19abzzhsa,2,758.4393678620409,1.225737854838371,0.12772291431240326
ZTF19abzzhsa,3,1621.0714523961426,0.7562657119706274,0.12670505453739056
ZTF19acbunmk,1,-637.5679920557959,0.8708966712961193,0.13323197353067384
ZTF19acbunmk,2,310.87558771074106,0.25670537939909716,0.18277170505822243
ZTF19acbunmk,3,1208.7355098897294,0.2737476557201023,0.15726569352829892
ZTF19aceidtc,1,-649.5185456451509,1.0179565288126469,0.128340967549152
ZTF19aceidtc,2,301.6533293548491,1.2251018779352307,0.17840493135810817
ZTF19aceidtc,3,1170.7939543548491,3.150799777358771,0.14642887477965566
ZTF19acfecsg,1,-676.808129975607,2.1825216244906187,0.1402232080001908
ZTF19acfecsg,2,278.3320569402808,2.2259261459112167,0.20373058036303104
ZTF19acfecsg,3,1155.9021503982246,2.0969405304640536,0.1436644505483869
ZTF19acgmkrt,1,-696.1286214395371,0.2032456686720252,0.1277524024301095
ZTF19acgmkrt,2,266.12847870993966,0.5656664143316448,0.15781380916740118
ZTF19acgmkrt,3,1122.81756690127,0.58936228742823,0.138864440138862
ZTF19acjnaxa,1,-665.1872590414863,0.5325861275196075,0.11874859410493473
ZTF19acjnaxa,2,317.9227097486735,0.18875951354857531,0.13007644808918417
ZTF19acjnaxa,3,1085.3176060218514,0.19999498908873645,0.14107728454844887
ZTF19acrwyyb,1,-746.664543286012,0.5204898188821971,0.12932323217805486
ZTF19acrwyyb,2,215.31264302577512,0.1343526237178594,0.1223675772816259
ZTF19acrwyyb,3,1100.293631618931,0.17748116806615144,0.11131102768863892
ZTF19acxxwvi,1,-198.20278229174824,0.27278924244455993,0.14342847569120967
ZTF19acxxwvi,2,708.6136689606868,0.4502635856624692,0.12258051237800795
ZTF19acxxwvi,3,1614.441225500742,3.1499904580414295,0.12768171795252842
ZTF19adaxzax,1,-731.1564522655228,0.12583583884406835,0.15168317314651394
ZTF19adaxzax,2,196.0280137538946,1.3628891902044413,0.20109539534187887
ZTF19adaxzax,3,1149.426072006322,0.1708733179839328,0.16965650238785945
ZTF19adbsblp,1,-740.2738737800345,0.3461019368842244,0.165385837152215
ZTF19adbsblp,2,240.8908388857353,0.5458150408230722,0.17184422811057357
