Name,Epoch,RA,Dec,type,redshift,Distance_Mpc,Rest_DeltaT,File Path,RMS
ZTF18aaegvyd,1,09:09:35.63,+29:58:14.4,SN II,0.0235,100.71428571428572,-13.98729396238741,final_luminosity_arrays\ZTF18aaegvyd_epoch_1_lum.npy,1.5572967537482694e+27
ZTF18aaegvyd,2,09:09:35.63,+29:58:14.4,SN II,0.0235,100.71428571428572,918.1084559154824,final_luminosity_arrays\ZTF18aaegvyd_epoch_2_lum.npy,1.4245212870908214e+27
ZTF18aaegvyd,3,09:09:35.63,+29:58:14.4,SN II,0.0235,100.71428571428572,1846.296047512942,final_luminosity_arrays\ZTF18aaegvyd_epoch_3_lum.npy,1.1185987264699624e+27
ZTF18aaeipng,1,08:10:25.21,+34:00:15.7,SN IIb,0.017,72.85714285714286,-1015.949508357947,final_luminosity_arrays\ZTF18aaeipng_epoch_1_lum.npy,8.887433589403269e+26
ZTF18aaeipng,2,08:10:25.21,+34:00:15.7,SN IIb,0.017,72.85714285714286,-89.69582104231273,final_luminosity_arrays\ZTF18aaeipng_epoch_2_lum.npy,6.791780599455298e+26
ZTF18aaeipng,3,08:10:25.21,+34:00:15.7,SN IIb,0.017,72.85714285714286,845.4074237954454,final_luminosity_arrays\ZTF18aaeipng_epoch_3_lum.npy,9.373190664975576e+26
ZTF18aaemivw,1,10:33:42.69,+39:29:26.5,SN Ia,0.0654,280.2857142857143,171.3318962969903,final_luminosity_arrays\ZTF18aaemivw_epoch_1_lum.npy,1.803584503615328e+28
ZTF18aaemivw,2,10:33:42.69,+39:29:26.5,SN Ia,0.0654,280.2857142857143,1037.6731765673114,final_luminosity_arrays\ZTF18aaemivw_epoch_2_lum.npy,1.2652556292341826e+28
ZTF18aaemivw,3,10:33:42.69,+39:29:26.5,SN Ia,0.0654,280.2857142857143,1960.331333128228,final_luminosity_arrays\ZTF18aaemivw_epoch_3_lum.npy,1.6883044875276303e+28
ZTF18aaeqjmc,1,07:41:58.63,+23:10:35.3,SN Ia,0.043,184.28571428571425,-1601.6270757428697,final_luminosity_arrays\ZTF18aaeqjmc_epoch_1_lum.npy,5.536700033441329e+27
ZTF18aaeqjmc,2,07:41:58.63,+23:10:35.3,SN Ia,0.043,184.28571428571425,-667.7823969317477,final_luminosity_arrays\ZTF18aaeqjmc_epoch_2_lum.npy,4.727229965165774e+27
ZTF18aaeqjmc,3,07:41:58.63,+23:10:35.3,SN Ia,0.043,184.28571428571425,169.22623202319,final_luminosity_arrays\ZTF18aaeqjmc_epoch_3_lum.npy,4.249447262239707e+27
ZTF18aaermez,1,10:12:42.89,+39:22:26.0,SN Ia,0.02284,97.88571428571429,88.73987115739233,final_luminosity_arrays\ZTF18aaermez_epoch_1_lum.npy,1.4644012185628017e+27
ZTF18aaermez,2,10:12:42.89,+39:22:26.0,SN Ia,0.02284,97.88571428571429,1022.4147372166,final_luminosity_arrays\ZTF18aaermez_epoch_2_lum.npy,1.7808292085757854e+27
ZTF18aaermez,3,10:12:42.89,+39:22:26.0,SN Ia,0.02284,97.88571428571429,1971.7323235448623,final_luminosity_arrays\ZTF18aaermez_epoch_3_lum.npy,1.815517006391298e+27
