Name,Epoch,RA,Dec,type,redshift,Distance_Mpc,Rest_DeltaT,Peak Luminosity,RMS,Flux_mjy,RMS_mjy,File Path,fits_path,center_lum
ZTF18acqugen,2,12:59:06.86,+08:57:11.7,SN Ia,0.0568,243.42857142857144,508.8479466314895,4.651823110163849e+28,8.254938960256191e+27,0.6560891051776705,0.116428636414758,final_luminosity_arrays\ZTF18acqugen_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqugen_epoch_2.fits,4.651823110163849e+28
ZTF18acqugen,3,12:59:06.86,+08:57:11.7,SN Ia,0.0568,243.42857142857144,1435.229475776077,4.822078674229178e+28,1.0028482037708766e+28,0.6801018025726078,0.1414428979525839,final_luminosity_arrays\ZTF18acqugen_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqugen_epoch_3.fits,4.822078674229178e+28
ZTF18acqwdla,1,07:05:53.43,+12:53:34.6,SN II,0.028,120.0,-403.0875418827133,9.623374814713946e+26,2.136354033965048e+27,0.0558531464776024,0.1239937453969042,final_luminosity_arrays\ZTF18acqwdla_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqwdla_epoch_1.fits,-1.679053939730164e+27
ZTF18acqwdla,2,07:05:53.43,+12:53:34.6,SN II,0.028,120.0,618.3132363274034,5.218386797782672e+27,2.9545386672296743e+27,0.3028701758012175,0.1714810885487243,final_luminosity_arrays\ZTF18acqwdla_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqwdla_epoch_2.fits,4.266364447529126e+27
ZTF18acqwdla,3,07:05:53.43,+12:53:34.6,SN II,0.028,120.0,1475.317127377987,3.774356933672162e+27,4.560085561704723e+27,0.2190600644098594,0.2646668478804038,final_luminosity_arrays\ZTF18acqwdla_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqwdla_epoch_3.fits,9.3784183415923e+26
ZTF18acqxcga,1,07:02:54.63,+33:50:15.0,SN Ia,0.03,128.57142857142858,191.87907901845728,-4.063271937709443e+26,2.860364136589205e+27,-0.0205432752409251,0.1446176936006522,final_luminosity_arrays\ZTF18acqxcga_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqxcga_epoch_1.fits,-2.3410648383555056e+27
ZTF18acqxcga,2,07:02:54.63,+33:50:15.0,SN Ia,0.03,128.57142857142858,1047.2188848437,3.165868186953248e+27,2.3794909184578336e+27,0.1600614050403237,0.1203051332413241,final_luminosity_arrays\ZTF18acqxcga_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqxcga_epoch_2.fits,-2.1934749544718153e+27
ZTF18acqxcga,3,07:02:54.63,+33:50:15.0,SN Ia,0.03,128.57142857142858,2007.4130596009816,2.956711113886645e+27,2.939010191385978e+27,0.1494867465225979,0.1485939744209893,final_luminosity_arrays\ZTF18acqxcga_epoch_3_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqxcga_epoch_3.fits,-1.970365345885727e+27
ZTF18acqxsyi,1,09:39:28.61,+26:55:56.7,SN Ia,0.0636,272.57142857142856,139.61325877891792,1.882550530510732e+28,1.1773986615231003e+28,0.2117720869136973,0.1324499878307289,final_luminosity_arrays\ZTF18acqxsyi_epoch_1_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqxsyi_epoch_1.fits,1.0670987166092805e+28
ZTF18acqxsyi,2,09:39:28.61,+26:55:56.7,SN Ia,0.0636,272.57142857142856,1021.5237514453338,1.1720688462778035e+28,1.042472676453898e+28,0.1318485010415315,0.1172716581243345,final_luminosity_arrays\ZTF18acqxsyi_epoch_2_lum.npy,dillon_extracting_files\dillon_fits\ztf_cutouts\ztf_cutouts_no_interp\ZTF18acqxsyi_epoch_2.fits,6.150272339851253e+27
